CLIENTNUM,GRUPO_AB,FL_ATIVADO,VALOR_GASTO
1,Controle,0,0.0
2,Teste,0,0.0
3,Teste,0,0.0
4,Teste,0,0.0
5,Teste,1,2185.430534813131
6,Teste,1,4778.214378844623
7,Teste,1,3793.972738151323
8,Teste,0,0.0
9,Teste,0,0.0
10,Teste,0,0.0
11,Teste,1,3193.9631788866645
12,Teste,0,0.0
13,Teste,0,0.0
14,Controle,0,0.0
15,Teste,1,1202.0838819909643
16,Teste,1,1201.9753415129119
17,Teste,1,761.3762547568977
18,Teste,1,4397.7926559872085
19,Teste,1,3205.0175528444397
20,Teste,1,3686.3266000822045
21,Teste,0,0.0
22,Teste,1,592.630224331111
23,Teste,1,4864.594334728975
24,Teste,1,4245.991883601898
25,Teste,1,1455.5259980522428
26,Teste,0,0.0
27,Teste,1,1318.2123524319527
28,Teste,1,1325.3202943404522
29,Teste,0,0.0
30,Teste,1,1869.0900933179198
31,Teste,0,0.0
32,Teste,1,2861.4039423450704
33,Teste,1,2443.752583889521
34,Teste,0,0.0
35,Teste,0,0.0
36,Teste,0,0.0
37,Teste,1,1810.5311308911887
38,Teste,1,3253.3380262507076
39,Teste,0,0.0
40,Teste,1,1127.7223729341881
41,Teste,1,1814.6509184084816
42,Teste,1,2148.6282948216126
43,Teste,1,2552.3149289766616
44,Teste,0,0.0
45,Teste,1,4033.291826268561
46,Teste,0,0.0
47,Teste,1,1398.5320197126189
48,Teste,1,2814.0549728612523
49,Teste,1,3165.865559879191
50,Teste,1,709.0268572399898
51,Teste,0,0.0
52,Teste,0,0.0
53,Teste,0,0.0
54,Teste,0,0.0
55,Teste,0,0.0
56,Teste,0,0.0
57,Teste,1,3233.9518335564726
58,Controle,0,0.0
59,Teste,1,1267.358556592812
60,Controle,0,0.0
61,Teste,1,792.7321684337578
62,Teste,1,4769.984917639999
63,Teste,0,0.0
64,Controle,0,0.0
65,Teste,1,4845.344148835517
66,Teste,1,4137.7880665240755
67,Teste,1,1870.7619612801682
68,Teste,0,0.0
69,Teste,1,939.5245130287274
70,Teste,0,0.0
71,Teste,0,0.0
72,Teste,1,3579.048619304706
73,Teste,1,2480.686221828206
74,Teste,0,0.0
75,Controle,1,1049.1720568015048
76,Teste,0,0.0
77,Teste,0,0.0
78,Teste,1,2728.2960955007156
79,Teste,1,654.7483450184827
80,Teste,1,4591.941809354519
81,Teste,0,0.0
82,Teste,0,0.0
83,Teste,1,1664.5099172000762
84,Teste,1,3481.350279592919
85,Teste,1,1902.6998424023493
86,Teste,1,2840.3060953001486
87,Teste,0,0.0
88,Teste,0,0.0
89,Teste,0,0.0
90,Controle,0,0.0
91,Teste,1,2960.1962570447586
92,Teste,0,0.0
93,Teste,0,0.0
94,Controle,1,1331.8450498648717
95,Teste,0,0.0
96,Teste,1,4863.130824940514
97,Teste,1,3988.0977051250156
98,Teste,1,4727.745237038851
